Record_ID,Country,Year,Population,Disease_Name,Cases_Reported,Deaths_Reported,Recovered,Vaccination_Coverage_Pct,Healthcare_Expenditure_PctGDP,Urbanization_Rate_Pct,Avg_Temperature_C,Avg_Humidity_Pct
38,India,2025,1465199505,Yellow Fever,403500,29735,365611,20.58,6.94,64.73,26.3,54.5
39,China,2007,1275469198,Cholera,682262,17675,640375,57.09,4.05,57.24,13.4,69.4
40,China,2008,1249462947,Malaria,3118002,88734,2950034,88.36,7.46,53.29,21.9,54.5
41,China,2009,1253053200,Zika,477406,327,456322,93.94,4.96,56.49,22.8,54.4
42,China,2010,1320581915,COVID-19,61088139,574152,58907519,0.0,5.83,66.67,16.1,62.9
43,China,2011,1339819336,Influenza,2741177,4097,2662929,73.96,4.94,65.53,14.3,48.0
44,China,2012,1298677272,Malaria,5668753,117060,5391288,83.59,4.68,47.37,23.1,61.7
45,China,2013,1350752740,Cholera,1800867,53829,1720102,92.91,6.76,58.71,14.5,75.0
46,China,2014,1347824397,Ebola,116449,41048,71063,85.81,7.61,68.27,13.5,68.1
47,China,2015,1381007013,Cholera,2318008,57086,2250476,56.23,6.99,50.27,12.0,58.9
48,China,2016,1419127804,COVID-19,104174086,1416044,98985812,0.0,7.92,74.02,22.1,52.8
49,China,2017,1401689449,Yellow Fever,76214,3990,68737,8.85,4.25,69.72,23.6,50.6
50,China,2018,1374071841,Yellow Fever,254578,13924,231406,35.42,6.62,70.01,19.2,72.9
51,China,2019,1415649524,Measles,1459668,18353,1379423,75.92,6.65,64.25,19.0,40.7
52,China,2020,1408657379,COVID-19,112266199,722559,110813954,7.51,4.7,64.83,10.4,40.5
53,China,2021,1413125776,Cholera,322281,7195,303368,89.98,6.64,54.05,19.7,41.1
54,China,2022,1463461592,Ebola,91374,20248,68397,56.22,6.02,57.91,21.9,44.0
55,China,2023,1459278045,Zika,273543,178,272447,85.75,4.37,47.9,21.1,68.4
56,China,2024,1540593180,Zika,221494,84,215791,48.51,5.93,70.42,15.3,59.5
57,China,2025,1521238973,Malaria,6433801,87335,6120415,56.99,5.36,45.18,23.0,59.8
58,Brazil,2007,188969683,Yellow Fever,29366,2014,27124,80.18,4.2,47.45,25.5,54.8
59,Brazil,2008,185578662,Hepatitis A,223460,105,219988,51.62,4.55,52.67,24.6,40.3
60,Brazil,2009,188654844,Yellow Fever,4012,200,3697,78.38,5.67,48.46,22.2,51.4
61,Brazil,2010,194104241,Hepatitis A,302553,145,292829,69.18,4.78,68.29,24.8,73.5
62,Brazil,2011,189728046,Influenza,725724,1565,703676,74.94,6.5,70.93,27.0,45.3
63,Brazil,2012,197321785,Malaria,796967,17459,764188,71.92,7.82,67.17,22.3,71.8
64,Brazil,2013,195618790,Hepatitis A,97906,84,95671,68.75,4.63,56.19,24.3,54.3
65,Brazil,2014,194349668,COVID-19,2263946,26606,2133567,0.0,5.24,64.68,27.3,44.5
66,Brazil,2015,200218219,Malaria,1508410,20498,1471758,92.12,5.95,51.8,23.1,42.7
67,Brazil,2016,204213977,Malaria,1520315,37156,1479838,60.04,6.88,74.09,26.9,66.3
68,Brazil,2017,202544909,Ebola,15596,3596,11874,50.98,6.42,71.19,22.4,56.8
69,Brazil,2018,202867308,COVID-19,12328520,104685,12207395,0.0,4.21,60.06,23.9,74.8
70,Brazil,2019,207617496,COVID-19,14657453,205041,14438485,0.0,4.86,49.49,29.5,61.3
71,Brazil,2020,209304652,Yellow Fever,94905,3529,90695,67.17,6.46,52.22,25.3,63.3
72,Brazil,2021,212329148,Malaria,1065426,12161,1040420,76.14,4.41,62.46,28.1,44.7
73,Brazil,2022,220329188,COVID-19,7641493,53645,7571837,74.33,6.06,74.67,26.3,48.9
74,Brazil,2023,223169792,Cholera,356365,8314,341506,83.85,5.07,47.48,25.4,55.1
75,Brazil,2024,218241518,Influenza,348766,738,343241,93.9,7.79,47.25,27.1,52.7
76,Brazil,2025,218038503,Influenza,59129,121,57909,81.97,6.3,60.88,25.2,62.7
77,Russia,2007,124635654,Cholera,29452,421,28832,44.07,4.69,52.1,20.0,68.4
78,Russia,2008,131196566,COVID-19,8075870,59331,7817057,0.0,5.44,45.75,12.0,74.4
79,Russia,2009,127614311,Influenza,462523,831,453725,88.29,7.12,48.79,7.7,73.8
80,Russia,2010,135091929,Yellow Fever,63718,2300,58372,10.98,6.5,47.65,6.4,62.4
81,Russia,2011,130723842,Hepatitis A,151443,187,145449,62.91,6.56,42.41,14.4,50.1
82,Russia,2012,137293390,Measles,91042,2227,84897,94.14,4.52,36.67,13.4,51.2
83,Russia,2013,135765004,Ebola,11010,1945,8978,94.78,5.87,59.56,12.5,43.2
84,Russia,2014,141389850,Yellow Fever,32935,2269,29468,30.55,5.46,38.03,13.6,46.8
85,Russia,2015,137966726,Zika,68212,27,67693,73.14,5.61,21.81,5.6,65.0
86,Russia,2016,137347846,Ebola,8259,2020,6007,66.12,4.07,34.91,6.6,54.6
87,Russia,2017,143621951,Measles,168255,3795,159247,89.44,4.59,50.63,5.5,73.2
88,Russia,2018,142616898,Malaria,295697,6307,274633,66.31,5.51,63.05,11.9,58.7
89,Russia,2019,146913495,Zika,71671,41,70888,78.77,5.27,35.7,19.0,67.8
90,Russia,2020,146643656,Measles,170112,3909,159847,67.49,7.31,32.2,13.4,49.5
91,Russia,2021,148228241,Malaria,497477,10554,463813,62.38,7.74,59.53,12.2,47.0
92,Russia,2022,150238354,Measles,163597,4706,150735,73.89,5.98,62.15,19.4,72.4
93,Russia,2023,151037331,Dengue,38838,245,38278,65.24,5.03,28.38,16.0,67.7
94,Russia,2024,149131138,Hepatitis A,279140,139,273648,64.57,5.07,34.83,13.7,60.1
95,Russia,2025,155222258,Measles,117652,1824,112213,67.67,4.53,26.89,16.2,61.2
96,United Kingdom,2007,60328485,Yellow Fever,23749,1707,21909,33.15,11.61,78.44,18.0,45.8
97,United Kingdom,2008,60102309,Zika,16979,4,16957,54.0,8.01,78.7,11.1,54.8
98,United Kingdom,2009,58469192,Malaria,287648,8141,273056,90.44,9.51,76.36,24.5,70.6
99,United Kingdom,2010,60100221,Influenza,161076,227,154218,53.61,9.38,79.69,24.1,65.4
100,United Kingdom,2011,61849598,Malaria,289897,3052,280483,69.69,11.02,88.19,12.1,74.8
101,United Kingdom,2012,62732862,Cholera,40203,1238,37197,90.14,10.5,82.26,17.4,74.0
102,United Kingdom,2013,61812449,Yellow Fever,9265,477,8340,22.29,8.54,79.13,13.1,62.6
103,United Kingdom,2014,61573683,Ebola,4675,1123,3349,58.31,11.83,75.26,24.1,73.7
104,United Kingdom,2015,64720988,Malaria,224302,3792,210610,65.63,11.21,87.28,21.4,51.2
105,United Kingdom,2016,64053183,Cholera,33590,821,31931,76.0,10.74,79.37,22.3,73.8
106,United Kingdom,2017,65937764,Ebola,3417,1088,2321,40.35,8.55,85.72,11.0,45.3
107,United Kingdom,2018,65180145,Cholera,63044,1822,61168,84.72,10.7,88.7,23.6,43.7
108,United Kingdom,2019,65305638,Malaria,83017,2204,80479,94.54,10.6,75.54,16.1,53.2
109,United Kingdom,2020,65027989,Ebola,3449,1167,2129,66.15,8.19,76.26,23.9,71.5
110,United Kingdom,2021,66368115,Hepatitis A,75474,107,72813,69.73,9.54,87.58,21.9,64.1
111,United Kingdom,2022,70291806,Malaria,153974,4696,145501,59.57,11.76,82.34,20.2,63.1
112,United Kingdom,2023,68182667,Malaria,25785,471,24333,45.62,8.35,82.33,18.4,57.9
113,United Kingdom,2024,69109358,Malaria,207176,4498,200922,60.94,8.56,80.12,17.4,42.2
114,United Kingdom,2025,69571614,Yellow Fever,16171,1086,14778,34.49,9.76,82.32,22.4,62.8
115,Germany,2007,72144273,Hepatitis A,35459,21,33991,61.61,8.46,84.59,13.9,59.1
116,Germany,2008,74662454,Zika,5185,0,5146,63.27,9.51,82.63,14.0,60.4
117,Germany,2009,76271369,Zika,29542,27,28560,42.44,11.93,86.52,11.0,66.3
118,Germany,2010,73329203,Yellow Fever,17135,1318,15404,11.82,11.68,76.46,17.5,65.6
119,Germany,2011,75686816,COVID-19,1947896,22809,1909080,0.0,11.94,79.15,7.6,45.6
120,Germany,2012,76474596,Zika,16473,3,16241,78.71,11.18,84.81,17.0,58.8
121,Germany,2013,77218422,COVID-19,4220573,50834,4106970,0.0,10.46,76.44,7.0,44.1
122,Germany,2014,77595384,Measles,49401,621,48067,66.55,11.37,85.53,18.0,73.3
123,Germany,2015,80465239,Ebola,675,137,529,69.57,8.67,82.77,16.1,66.8
124,Germany,2016,80109354,Zika,17067,9,16847,88.11,8.13,79.47,17.9,43.0
125,Germany,2017,79287500,Malaria,234152,3971,226891,69.63,9.29,86.97,9.3,49.4
126,Germany,2018,82239888,Zika,10243,10,9844,77.19,9.96,84.82,9.0,54.5
127,Germany,2019,83630793,Ebola,5024,740,4040,74.92,10.79,89.45,16.9,53.9
128,Germany,2020,82973680,Yellow Fever,37000,2497,34473,37.18,8.63,82.76,19.9,55.0
129,Germany,2021,82833423,Influenza,45889,88,44817,45.02,8.38,78.63,6.2,60.8
130,Germany,2022,82175429,Zika,4242,2,4211,82.54,11.01,77.26,19.9,45.0
131,Germany,2023,86081019,Zika,38883,13,37451,59.33,9.72,88.45,8.7,62.6
132,Germany,2024,86888394,Cholera,146947,1620,138730,92.51,9.98,76.92,12.5,60.8
133,Germany,2025,84679978,Zika,41670,16,41626,51.87,11.69,91.13,11.0,50.0
134,France,2007,56851177,Zika,4331,1,4165,75.74,10.57,80.27,11.6,73.4
135,France,2008,56252060,Cholera,34762,1069,32784,83.06,10.88,77.84,6.9,67.3
136,France,2009,56925896,Measles,22805,582,22033,65.51,11.09,90.2,15.1,44.0
137,France,2010,60110046,Zika,21715,6,21440,90.37,9.28,89.04,13.6,44.2
138,France,2011,60517335,Dengue,119177,1270,116097,74.25,9.86,85.06,12.4,67.0
139,France,2012,60194096,Cholera,2917,49,2761,56.91,8.82,91.71,11.3,73.6
140,France,2013,59146267,Influenza,156800,142,152207,63.92,11.86,79.03,8.9,51.0
141,France,2014,62097621,Yellow Fever,4729,261,4240,8.31,9.23,79.51,6.8,45.5
142,France,2015,62575828,Measles,23428,239,22716,75.83,10.99,79.25,11.9,68.1
143,France,2016,60820935,Influenza,64900,130,64129,75.53,11.24,76.56,17.7,68.3
144,France,2017,62940713,Malaria,180985,4944,175728,74.05,8.98,80.02,11.2,59.3
145,France,2018,63271992,Dengue,54947,730,53272,71.11,9.29,79.6,5.4,60.9
146,France,2019,65431979,Dengue,10681,142,10510,94.8,8.88,89.39,17.0,52.4
147,France,2020,65360826,Influenza,299420,620,291431,57.0,9.96,76.53,8.5,47.7
148,France,2021,64987200,Zika,22783,5,22179,60.07,8.29,86.98,14.9,60.5
149,France,2022,64860162,COVID-19,631382,6951,618896,68.07,10.75,77.16,15.9,73.2
150,France,2023,68955680,Hepatitis A,102989,73,97858,49.23,11.54,76.51,15.6,62.4
151,France,2024,66686409,COVID-19,1641587,17219,1616043,95.0,11.46,86.07,15.3,45.7
152,France,2025,66403140,Malaria,87334,2613,80821,78.75,9.73,86.11,14.1,55.2
153,Italy,2007,51788357,Dengue,21678,141,21146,63.52,3.47,49.79,14.0,47.0
154,Italy,2008,53688447,Dengue,104907,938,102991,42.45,4.2,31.85,17.6,59.7
155,Italy,2009,54319804,Influenza,149670,330,145787,88.49,4.38,23.55,18.5,65.0
156,Italy,2010,54372025,Zika,5240,0,5062,51.11,6.11,26.65,13.9,51.2
157,Italy,2011,55045919,Malaria,235617,4891,223862,93.07,2.5,24.75,16.7,67.5
158,Italy,2012,56665315,Zika,11330,6,10933,42.71,4.38,32.09,10.6,51.8
159,Italy,2013,57114288,Measles,26028,320,25134,91.97,4.04,41.8,12.7,53.1
160,Italy,2014,55366165,Dengue,36311,354,34291,78.75,3.37,57.06,12.6,62.2
161,Italy,2015,56204007,Malaria,125933,1297,124324,86.96,5.9,29.64,8.3,47.9
162,Italy,2016,57345758,Cholera,1041,20,971,75.35,4.12,36.94,10.2,48.8
163,Italy,2017,58307520,Ebola,3491,837,2596,55.21,3.63,32.46,14.8,73.3
164,Italy,2018,58878793,Measles,35806,1022,34060,85.79,4.92,64.76,17.2,52.0
165,Italy,2019,59898939,Cholera,35985,847,34133,90.19,6.73,60.48,14.8,47.8
166,Italy,2020,59305506,Cholera,34857,919,33066,87.71,3.91,33.43,5.8,69.9
167,Italy,2021,60027947,Influenza,296412,231,289482,51.52,5.87,45.93,7.4,67.5
168,Italy,2022,60962564,Malaria,131245,1351,129867,80.35,3.13,59.46,9.7,43.6
169,Italy,2023,60583010,Zika,10308,1,10210,92.14,6.59,38.15,8.4,65.5
170,Italy,2024,60645244,Influenza,217471,217,208163,42.65,2.58,39.99,6.9,48.8
171,Italy,2025,63763375,Influenza,38129,26,36607,67.38,5.05,55.01,17.5,74.1
172,Spain,2007,40790057,COVID-19,25332,149,24535,0.0,5.62,24.56,8.8,48.1
173,Spain,2008,40584141,Measles,41399,538,39522,71.5,6.47,62.98,9.0,65.7
174,Spain,2009,41325625,COVID-19,1442314,20890,1409930,0.0,4.08,46.58,17.0,63.7
175,Spain,2010,43261167,Influenza,191554,336,191100,87.76,4.62,53.46,15.9,47.8
176,Spain,2011,43459341,COVID-19,1143166,16472,1097797,0.0,4.35,42.31,7.5,66.3
177,Spain,2012,44628073,COVID-19,977157,9757,935478,0.0,2.51,38.56,13.4,40.0
178,Spain,2013,45056011,Malaria,201359,5048,190271,79.42,3.82,40.36,6.5,63.1
179,Spain,2014,45152484,Dengue,87263,1020,85425,91.16,3.96,40.57,16.7,65.1
180,Spain,2015,43502087,Malaria,146770,3103,140491,72.18,6.62,55.15,18.7,64.2
181,Spain,2016,44159003,Influenza,195286,417,190448,47.34,4.06,51.5,16.2,50.5
182,Spain,2017,46197650,Zika,14982,12,14450,57.73,2.58,35.85,12.2,60.0
183,Spain,2018,47162731,Yellow Fever,1240,92,1106,5.86,2.31,55.3,8.1,58.9
184,Spain,2019,45424746,COVID-19,1063502,9490,1003140,0.0,6.88,34.07,13.3,40.5
185,Spain,2020,48040156,Measles,51576,725,49694,94.42,2.37,63.31,16.0,44.2
186,Spain,2021,47631204,Dengue,14319,139,13707,66.98,4.86,36.11,16.8,51.1
187,Spain,2022,48003977,Cholera,38761,827,37014,70.87,5.76,49.22,6.7,52.1
188,Spain,2023,48754499,Cholera,31166,829,29753,84.15,4.23,21.97,18.5,46.7
189,Spain,2024,47722721,Zika,19967,16,19074,80.78,4.18,56.75,6.1,64.0
190,Spain,2025,48898702,Dengue,10777,62,10353,69.42,5.21,47.83,16.3,60.5
191,Canada,2007,33394862,Malaria,114686,2790,107328,86.72,9.18,85.78,9.5,71.0
192,Canada,2008,32733939,COVID-19,954523,13347,900540,0.0,8.57,78.13,14.3,48.8
193,Canada,2009,34672691,Malaria,147551,2856,142255,47.05,10.62,76.7,14.3,71.5
194,Canada,2010,34046601,COVID-19,2562387,19920,2496410,0.0,10.72,80.64,12.2,55.6
195,Canada,2011,33929448,Measles,45487,1180,42871,88.44,10.32,88.08,8.2,41.3
196,Canada,2012,36142455,Measles,41689,849,39459,89.68,11.23,85.44,7.5,58.0
197,Canada,2013,35584401,Ebola,802,233,549,83.53,9.55,90.6,18.2,41.4
198,Canada,2014,36803866,COVID-19,775581,11516,755422,0.0,9.62,88.89,10.2,67.7
199,Canada,2015,36984458,Hepatitis A,30594,16,30405,77.14,9.92,85.04,14.7,54.4
200,Canada,2016,36678264,Cholera,41785,422,39860,76.4,9.13,76.46,11.7,74.7
201,Canada,2017,37613502,Ebola,1326,243,1058,45.97,8.81,89.61,12.6,54.7
202,Canada,2018,36530264,Influenza,160872,365,155049,63.73,9.68,89.87,15.5,55.0
203,Canada,2019,37355662,Ebola,873,286,570,50.4,10.84,88.42,13.7,44.1
204,Canada,2020,37328354,Dengue,60609,562,59430,70.37,10.23,78.04,13.4,56.9
205,Canada,2021,39011415,Measles,13767,380,12965,83.96,8.21,81.61,14.5,68.2
206,Canada,2022,38996953,Influenza,74571,60,71627,49.64,9.98,75.18,17.8,72.6
207,Canada,2023,38055846,Zika,18797,15,18411,72.23,10.07,87.53,6.0,43.2
208,Canada,2024,39683204,Measles,57350,1239,54669,71.9,8.47,83.73,8.9,58.8
209,Canada,2025,39801238,Hepatitis A,21057,19,20208,52.12,10.8,88.6,11.2,52.4
210,Australia,2007,22404372,Zika,9951,8,9604,90.05,10.0,78.39,16.0,70.5
211,Australia,2008,22632094,Cholera,5526,146,5278,57.35,11.59,89.98,13.6,49.6
212,Australia,2009,22967408,Influenza,67587,72,64216,78.4,9.84,86.72,5.2,47.4
213,Australia,2010,22444239,Hepatitis A,33387,32,32687,64.79,10.29,91.65,15.3,68.5
214,Australia,2011,22934395,Measles,16116,332,15530,77.03,9.0,89.59,5.7,43.5
215,Australia,2012,23521789,Influenza,54055,92,51360,50.94,10.3,86.04,7.6,67.3
216,Australia,2013,23332564,COVID-19,1714190,15712,1620734,0.0,8.32,80.84,9.7,62.9
217,Australia,2014,23403402,Measles,18380,281,17416,86.24,8.84,81.75,6.4,72.8
218,Australia,2015,23110670,Ebola,702,199,499,86.12,8.11,86.28,17.9,51.4
219,Australia,2016,24559147,Ebola,1869,554,1266,89.99,9.93,78.86,6.3,50.8
220,Australia,2017,23978778,Yellow Fever,10974,501,10313,9.25,8.03,81.35,11.2,59.6
221,Australia,2018,24823455,Yellow Fever,9889,604,9022,10.75,8.75,76.16,7.0,43.9
222,Australia,2019,24414060,Ebola,715,127,583,67.15,9.37,80.3,17.0,74.9
223,Australia,2020,24297605,Ebola,2238,283,1846,79.31,9.54,91.57,8.7,74.8
224,Australia,2021,25660558,Cholera,35377,519,33729,50.93,11.55,89.68,8.3,44.0
225,Australia,2022,24993511,Yellow Fever,6069,185,5857,24.75,11.72,91.95,14.4,42.1
226,Australia,2023,26207971,Influenza,129325,118,123397,66.69,9.75,80.01,15.5,46.6
227,Australia,2024,25739882,Influenza,77850,135,75746,80.35,11.53,85.54,10.5,61.7
228,Australia,2025,26524796,COVID-19,719608,9560,705379,95.0,8.81,83.25,6.5,60.0
229,Japan,2007,110883010,Yellow Fever,11593,744,10814,22.32,11.75,82.07,10.5,64.8
230,Japan,2008,108736791,Hepatitis A,55245,68,54683,81.21,9.66,76.79,14.6,52.5
231,Japan,2009,112442633,Ebola,10629,4002,6179,62.68,10.53,89.04,9.9,48.4
232,Japan,2010,115884655,Zika,30346,23,29868,52.2,11.42,75.37,17.3,64.1
233,Japan,2011,115284730,Measles,27410,590,26041,67.61,8.31,80.52,12.2,57.1
234,Japan,2012,113533906,Hepatitis A,211476,153,203178,81.12,11.4,90.79,14.5,62.1
235,Japan,2013,114287191,Dengue,125960,857,123278,61.69,8.53,76.4,13.6,41.7
236,Japan,2014,117975023,Yellow Fever,33444,1248,31751,17.2,10.74,84.79,6.7,54.5
237,Japan,2015,118595233,COVID-19,6102634,52844,5818582,0.0,11.41,76.91,5.8,73.2
238,Japan,2016,123409300,Influenza,79574,111,76559,47.77,10.8,75.31,13.7,63.2
239,Japan,2017,119066595,Dengue,52180,320,51097,88.59,9.55,91.66,12.6,64.8
240,Japan,2018,124236961,COVID-19,252244,3040,244722,0.0,9.21,91.93,19.7,49.7
241,Japan,2019,127586930,Dengue,227406,3257,217186,74.4,8.91,79.09,7.3,74.0
242,Japan,2020,126319287,Hepatitis A,251337,409,249104,91.32,11.67,80.4,13.4,73.2
243,Japan,2021,129852458,Malaria,20251,246,19815,47.24,8.1,91.76,14.3,61.2
244,Japan,2022,126467203,Hepatitis A,124645,67,123374,41.77,11.06,75.26,9.0,54.5
245,Japan,2023,126438529,Cholera,124040,2213,119887,73.63,10.97,85.09,12.9,70.7
246,Japan,2024,130735419,Dengue,216765,1627,210824,56.75,11.31,82.84,11.3,61.5
247,Japan,2025,135634726,Dengue,129748,717,126088,89.31,11.58,90.0,6.4,51.3
248,South Korea,2007,43799613,Influenza,82200,149,78302,71.1,5.3,26.75,18.0,46.3
249,South Korea,2008,44742639,Dengue,69296,703,68574,88.55,3.19,46.5,12.1,54.4
250,South Korea,2009,44359162,Malaria,61563,1342,58364,58.21,2.44,24.9,19.9,45.6
251,South Korea,2010,46700161,Measles,40708,455,39384,79.27,3.46,26.05,15.4,49.6
252,South Korea,2011,45819513,Zika,18083,12,17305,54.28,4.88,48.05,18.9,61.5
253,South Korea,2012,47470255,Ebola,3020,989,1881,62.77,3.67,45.22,14.6,40.4
254,South Korea,2013,46867699,Cholera,72065,1007,68054,90.73,4.4,41.35,5.5,44.8
255,South Korea,2014,49174477,Influenza,193324,223,186475,83.97,6.44,35.91,19.5,49.8
256,South Korea,2015,48161515,Dengue,52827,301,50210,60.44,6.15,33.62,12.9,46.1
257,South Korea,2016,49826867,COVID-19,479422,6542,453173,0.0,6.69,50.45,7.0,65.4
258,South Korea,2017,50583585,Ebola,531,76,435,75.14,3.05,29.02,9.3,58.6
259,South Korea,2018,49313127,Ebola,1366,367,988,57.13,6.46,44.33,5.8,41.0
260,South Korea,2019,49143195,Dengue,43014,544,41323,93.55,5.78,40.96,7.0,68.4
261,South Korea,2020,50419798,Ebola,1808,358,1373,57.86,4.44,22.94,6.7,56.8
262,South Korea,2021,51042130,Influenza,106423,102,105025,48.75,4.41,22.97,8.1,64.3
263,South Korea,2022,51823306,Yellow Fever,14973,754,13604,7.05,6.78,23.13,6.6,68.5
264,South Korea,2023,53002461,Yellow Fever,20060,1151,18461,8.23,6.39,33.49,16.9,63.8
265,South Korea,2024,54392643,Yellow Fever,1694,81,1531,4.39,3.41,21.4,11.5,60.7
266,South Korea,2025,53299305,COVID-19,2141350,10827,2061102,95.0,6.42,49.61,19.6,44.8
267,Mexico,2007,111900994,Influenza,342870,499,332464,86.57,4.95,60.05,16.2,59.1
268,Mexico,2008,110443769,COVID-19,5747829,58777,5513723,0.0,4.98,63.92,20.0,63.4
269,Mexico,2009,113438727,Zika,54416,32,54288,90.76,7.0,66.81,18.5,42.1
270,Mexico,2010,116383296,Ebola,9097,1771,7210,80.78,6.42,72.3,21.1,63.1
271,Mexico,2011,115358982,COVID-19,1074724,13567,1048371,0.0,5.76,64.13,13.2,65.7
272,Mexico,2012,116534862,COVID-19,6162307,63880,5964479,0.0,5.16,68.92,15.7,51.0
273,Mexico,2013,116100094,Zika,5741,2,5518,81.2,6.94,62.66,12.9,51.8
274,Mexico,2014,117040867,Influenza,246870,190,239347,89.17,4.87,62.98,11.8,73.5
275,Mexico,2015,119083245,Malaria,535240,15099,512745,63.48,7.61,68.1,14.9,45.7
276,Mexico,2016,119775758,Malaria,595928,7243,572577,63.72,6.46,48.19,16.6,49.1
277,Mexico,2017,124767350,Dengue,67128,751,64648,91.7,5.96,58.08,22.7,67.3
278,Mexico,2018,121738457,Malaria,498523,5776,479421,92.85,4.32,58.79,21.5,62.7
279,Mexico,2019,130287623,Influenza,262047,190,248803,53.12,5.56,68.78,19.7,57.5
280,Mexico,2020,124286092,Ebola,11552,3597,7821,43.96,6.94,59.67,10.3,71.8
281,Mexico,2021,130841419,Hepatitis A,29023,26,27838,52.13,7.22,57.79,22.2,74.4
282,Mexico,2022,134300809,Yellow Fever,22545,1381,20541,17.55,7.7,46.22,11.5,69.7
283,Mexico,2023,129170431,Hepatitis A,123038,73,122085,54.9,5.8,52.18,12.6,64.2
284,Mexico,2024,133196415,Hepatitis A,97431,126,94676,52.06,7.08,64.78,14.1,46.8
285,Mexico,2025,138311500,Influenza,466995,349,449358,90.87,4.7,68.56,17.3,44.1
286,Indonesia,2007,241209169,Cholera,158057,2280,152055,66.64,6.45,26.52,29.4,76.8
287,Indonesia,2008,241659332,Yellow Fever,34162,2113,31674,11.81,2.78,55.76,29.6,83.6
288,Indonesia,2009,249908466,Hepatitis A,125522,82,121804,89.05,4.96,26.7,26.6,70.1
289,Indonesia,2010,246708158,Dengue,962822,14043,942391,56.27,5.24,24.08,25.8,74.6
290,Indonesia,2011,253318356,Ebola,11838,1676,9634,58.31,2.16,39.17,24.2,84.2
291,Indonesia,2012,247681024,Zika,47194,10,46320,75.65,5.52,45.23,28.2,72.1
